#軌道半径a(天文単位) 公転周期T（年）
水星 0.387 0.241
金星 0.723 0.615
地球 1.00 1.00
火星 1.52 1.88
木星 5.20 11.9
土星 9.55 29.5
天王星 19.2 84.0
海王星 30.1 165
